Date,QP188,GCV,Viral Inhibition
10.23.2020,0,1,97.10819238
10.23.2020,0,0.1,92.7963295
10.23.2020,0,0.01,73.32105527
10.23.2020,0,0.001,26.22982601
10.23.2020,0,0.0001,0
10.23.2020,0,0.00001,0
10.23.2020,0,0.000001,0
10.23.2020,0,0.0000001,0
10.23.2020,0,1,97.10819238
10.23.2020,0,0.1,92.7963295
10.23.2020,0,0.01,73.32105527
10.23.2020,0,0.001,26.22982601
10.23.2020,0,0.0001,0
10.23.2020,0,0.00001,0
10.23.2020,0,0.000001,0
10.23.2020,0,0.0000001,0
10.23.2020,0,1,97.3067664
10.23.2020,0,0.1,92.24486287
10.23.2020,0,0.01,75.06233342
10.23.2020,0,0.001,11.20067062
10.23.2020,0,0.0001,0
10.23.2020,0,0.00001,9.201702347
10.23.2020,0,0.000001,19.9101539
10.23.2020,0,0.0000001,33.83200069
4.8.2021,0,2,98.26186309
4.8.2021,0,0.2,96.91997277
4.8.2021,0,0.02,89.63681447
4.8.2021,0,0.002,49.63049397
4.8.2021,0,0.0002,6.937961883
4.8.2021,0,0.00002,0
4.8.2021,0,0.000002,0
4.8.2021,0,0.0000002,0
4.24.2021,0,2,95.56499486
4.24.2021,0,0.2,91.03501042
4.24.2021,0,0.02,76.13381527
4.24.2021,0,0.002,47.03585468
4.24.2021,0,0.0002,2.904783263
4.24.2021,0,0.00002,11.5320687
4.24.2021,0,0.000002,21.46004274
4.24.2021,0,0.0000002,0
4.24.2021,0,2,98.20362946
4.24.2021,0,0.2,93.01955504
4.24.2021,0,0.02,78.4343728
4.24.2021,0,0.002,47.64819292
4.24.2021,0,0.0002,0
4.24.2021,0,0.00002,0
4.24.2021,0,0.000002,11.861554
4.24.2021,0,0.0000002,0
4.24.2021,0,2,95.60946028
4.24.2021,0,0.2,92.11946634
4.24.2021,0,0.02,77.00727714
4.24.2021,0,0.002,38.52031534
4.24.2021,0,0.0002,0
4.24.2021,0,0.00002,17.61976956
4.24.2021,0,0.000002,0
4.24.2021,0,0.0000002,0
9.29.2020,12,0,98.23154218
9.29.2020,8,0,95.93772661
9.29.2020,6,0,95.31025706
9.29.2020,4,0,94.71534489
9.29.2020,2,0,91.49956344
9.29.2020,0.4,0,0
9.29.2020,0.04,0,0
9.29.2020,0.004,0,13.85760585
9.29.2020,12,0,97.71950335
9.29.2020,8,0,97.22818285
9.29.2020,6,0,95.64766993
9.29.2020,4,0,93.69866663
9.29.2020,2,0,83.80566202
9.29.2020,0.4,0,0
9.29.2020,0.04,0,1.01815814
9.29.2020,0.004,0,0.676305625
9.29.2020,12,0,98.00575954
9.29.2020,8,0,96.60547156
9.29.2020,6,0,95.85853132
9.29.2020,4,0,92.7537797
9.29.2020,2,0,83.99388049
9.29.2020,0.4,0,0
9.29.2020,0.04,0,4.65262779
9.29.2020,0.004,0,1.315694744
9.29.2020,12,0,99.47804176
9.29.2020,8,0,97.02843772
9.29.2020,6,0,96.05111591
9.29.2020,4,0,92.60439165
9.29.2020,2,0,88.18034557
9.29.2020,0.4,0,0
9.29.2020,0.04,0,7.550395968
9.29.2020,0.004,0,11.72066235
7.16.2021,12,0,98.86588383
7.16.2021,8,0,94.51597858
7.16.2021,6,0,74.34866545
7.16.2021,4,0,62.7819793
7.16.2021,2,0,23.70840049
7.16.2021,0.4,0,-8.92297338
7.16.2021,0.04,0,-22.62446645
7.16.2021,0.004,0,2.204471523
7.16.2021,12,0,98.66840826
7.16.2021,8,0,94.96268882
7.16.2021,6,0,78.78846518
7.16.2021,4,0,68.72593721
7.16.2021,2,0,36.32266205
7.16.2021,0.4,0,0.761946228
7.16.2021,0.04,0,10.12138731
7.16.2021,0.004,0,28.15008325
7.16.2021,12,0,98.8260288
7.16.2021,8,0,94.28541454
7.16.2021,6,0,82.6485168
7.16.2021,4,0,58.99283972
7.16.2021,2,0,21.26629423
7.16.2021,0.4,0,13.85946967
7.16.2021,0.04,0,-12.72536523
7.16.2021,0.004,0,0.699242007
4.24.2021,4,0,62.52574792
4.24.2021,3.5,0,55.00735655
4.24.2021,3,0,46.39038744
4.24.2021,2.5,0,39.51773745
4.24.2021,2,0,8.211541605
4.24.2021,1.5,0,10.98414255
4.24.2021,1,0,0
4.24.2021,0.5,0,0
4.24.2021,4,0,63.69078302
4.24.2021,3.5,0,62.54177821
4.24.2021,3,0,55.98363791
4.24.2021,2.5,0,35.56261328
4.24.2021,2,0,13.8495818
4.24.2021,1.5,0,19.40171935
4.24.2021,1,0,0
4.24.2021,0.5,0,4.348259865
4.24.2021,4,0,54.72259764
4.24.2021,3.5,0,60.6863634
4.24.2021,3,0,39.39746463
4.24.2021,2.5,0,37.80986434
4.24.2021,2,0,39.81147247
4.24.2021,1.5,0,0
4.24.2021,1,0,29.40482097
4.24.2021,0.5,0,42.87718338
10.06.2020,1,1,95.609686
10.06.2020,1,0.1,91.50858662
10.06.2020,1,0.01,76.72450959
10.06.2020,1,0.001,33.85966803
10.06.2020,1,0.0001,0
10.06.2020,1,0.00001,0
10.06.2020,1,0.000001,0
10.06.2020,1,0.0000001,0
10.06.2020,1,1,96.34260257
10.06.2020,1,0.1,91.90019401
10.06.2020,1,0.01,78.96277933
10.06.2020,1,0.001,35.0991593
10.06.2020,1,0.0001,0
10.06.2020,1,0.00001,0
10.06.2020,1,0.000001,0
10.06.2020,1,0.0000001,0
10.06.2020,1,1,95.14736249
10.06.2020,1,0.1,92.41912271
10.06.2020,1,0.01,80.18584569
10.06.2020,1,0.001,46.42074964
10.06.2020,1,0.0001,0
10.06.2020,1,0.00001,0
10.06.2020,1,0.000001,0
10.06.2020,1,0.0000001,0
10.06.2020,1,1,94.69369877
10.06.2020,1,0.1,92.66003379
10.06.2020,1,0.01,79.91677617
10.06.2020,1,0.001,49.96871285
10.06.2020,1,0.0001,14.36393217
10.06.2020,1,0.00001,0.985545335
10.06.2020,1,0.000001,9.364245041
10.06.2020,1,0.0000001,0
10.23.2020,1,1,96.39735698
10.23.2020,1,0.1,91.07578475
10.23.2020,1,0.01,76.73629622
10.23.2020,1,0.001,22.21683711
10.23.2020,1,0.0001,10.84670189
10.23.2020,1,0.00001,12.40569315
10.23.2020,1,0.000001,7.861193234
10.23.2020,1,0.0000001,6.733549815
10.23.2020,1,1,97.04238673
10.23.2020,1,0.1,91.78918408
10.23.2020,1,0.01,83.76751784
10.23.2020,1,0.001,47.61198521
10.23.2020,1,0.0001,34.19955292
10.23.2020,1,0.00001,39.36892787
10.23.2020,1,0.000001,43.25294472
10.23.2020,1,0.0000001,51.24881781
4.17.2021,2,2,94.63906886
4.17.2021,2,0.2,91.1816983
4.17.2021,2,0.02,78.87926916
4.17.2021,2,0.002,63.81323701
4.17.2021,2,0.0002,25.26040174
4.17.2021,2,0.00002,5.943848785
4.17.2021,2,0.000002,0
4.17.2021,2,0.0000002,0
4.17.2021,2,2,95.31215231
4.17.2021,2,0.2,91.49709482
4.17.2021,2,0.02,80.82086785
4.17.2021,2,0.002,61.15959946
4.17.2021,2,0.0002,25.59278032
4.17.2021,2,0.00002,20.81097787
4.17.2021,2,0.000002,29.76882186
4.17.2021,2,0.0000002,24.47274076
4.17.2021,2,2,95.52630471
4.17.2021,2,0.2,93.3020867
4.17.2021,2,0.02,83.50851097
4.17.2021,2,0.002,71.06271312
4.17.2021,2,0.0002,44.02688708
4.17.2021,2,0.00002,35.68010553
4.17.2021,2,0.000002,41.59357854
4.17.2021,2,0.0000002,46.55421619
4.24.2021,2,2,96.01878479
4.24.2021,2,0.2,93.57570641
4.24.2021,2,0.02,77.54795135
4.24.2021,2,0.002,53.13827402
4.24.2021,2,0.0002,4.965306176
4.24.2021,2,0.00002,0
4.24.2021,2,0.000002,0
4.24.2021,2,0.0000002,0
4.24.2021,2,2,97.3651192
4.24.2021,2,0.2,94.07840377
4.24.2021,2,0.02,88.75049729
4.24.2021,2,0.002,78.66695229
4.24.2021,2,0.0002,46.30474034
4.24.2021,2,0.00002,29.13058114
4.24.2021,2,0.000002,37.1515133
4.24.2021,2,0.0000002,5.532943661
4.24.2021,2,2,97.04669497
4.24.2021,2,0.2,96.61006671
4.24.2021,2,0.02,89.09945421
4.24.2021,2,0.002,80.72468163
4.24.2021,2,0.0002,52.52880534
4.24.2021,2,0.00002,24.01455428
4.24.2021,2,0.000002,65.78835658
4.24.2021,2,0.0000002,32.6228017
4.17.2021,3,2,97.51161057
4.17.2021,3,0.2,95.63862928
4.17.2021,3,0.02,85.54555358
4.17.2021,3,0.002,72.32574585
4.17.2021,3,0.0002,51.46685014
4.17.2021,3,0.00002,33.72704165
4.17.2021,3,0.000002,43.6614873
4.17.2021,3,0.0000002,43.00594385
4.17.2021,3,2,96.53850909
4.17.2021,3,0.2,93.00284337
4.17.2021,3,0.02,83.39720608
4.17.2021,3,0.002,63.85214489
4.17.2021,3,0.0002,33.14624799
4.17.2021,3,0.00002,24.61861788
4.17.2021,3,0.000002,27.78588206
4.17.2021,3,0.0000002,29.61058227
4.17.2021,3,2,98.88999593
4.17.2021,3,0.2,95.45894669
